arg,tittle,genres,argumento
149508,Spellbound (2011),Comedia | romance,"Un mago se encuentra con una chica excéntrica y le ofrece a trabajar juntos en su espectáculo mágico. Es solo hasta un año después, que él comienza a conocerla personalmente y desarrolla un sentimiento hacia ella a pesar de sus propios problemas."
149566,Ciudad de unicornio (2012),Comedia | romance,"Voss atrae a los jugadores locales para crear una sociedad utópica en un intento por impresionar a un empleador potencial, pero el paraíso se interrumpe cuando su némesis reclama a la ciudad y el verdadero amor de Voss."
149590,Stector (2016),Novela de suspenso,"Una niña fotografía a un asesino que mata 4 en un cementerio. Él no quiere testigos. Carter, un veterano en una granja, está parado entre él y la niña."
149612,SWELTER (2014),Acción | drama | thriller,"Diez años después de su heist de casino, cuatro condenados escapados trazan a su compañero anterior a una ciudad desértica, donde ahora es un legislador sin memoria de su pasado criminal."
149830,Orgullo y prejuicio y zombies (2016),Comedia | horror | romance | thriller,Cinco hermanas en el siglo XIX Inglaterra deben hacer frente a las presiones para casarse mientras se protegen de una creciente población de zombies.
149902,Garm Wars: el último druida (2014),Acción | Ciencia ficción | Thriller,"En un mundo donde los soldados de clones de tres tribus militares están encerrados en una batalla perpetua de aire, tierra y tecnología, un clon está separado de la batalla y se encuentra a sí misma en la carrera con un grupo de compañeros improbables."
150254,El Dulces del Diablo (2015),Horror,"Un pintor que lucha es poseído por las fuerzas oscuras después de que él y su familia joven se mudan a su hogar de sueños en Rural Texas, en este concurso espeluznante de casas."
150401,Cerveza (2015),Acción | crimen,"Un soldado pícaro convertido en proscritos se empuja en una pelea implacable con un sheriff corrupto, sus diputados obedientes y un cartel peligroso para proteger a su hermana y su hija pequeña."
150548,Sherlock: la novia abominable (2016),Acción | Delito | Drama | Misterio | Thriller,Sherlock Holmes y el Dr. Watson se encuentran en la década de 1890 Londres en este especial de Navidad.
150554,The Love Bug (1997),Aventura | Niños | Comedia | Fantasía,"Herbie, el magical Volkswagen Beetle, se transmite a un nuevo propietario. Juntos, deben luchar contra un Dastardly Racer y su diablo-Car ""Horace"", una herbía malvada."
150596,Doctor Who: los maridos de la canción del río (2015),Comedia | drama | ciencia ficción,"Cuando una nave espacial estrellada llama al médico por ayuda, se encuentra reclutado en el escuadrón de la canción del río y se lanzó a una persecución a través de la galaxia."
150604,Moonwalkers (2015),Comedia,"Después de no haber localizado el legendario Stanley Kubrick, un agente de la CIA inestable debe en su lugar, en su lugar, debe colocarse con un administrador de banda de rock semillero para desarrollar la mayor configuración de tiempo de escenificación del tiempo."
150696,Mañana (2015),Documental,"El clima del mundo está cambiando. En lugar de mostrar lo peor que puede suceder, este documental se enfoca en las personas que sugieren soluciones y sus acciones."
150993,Anacleto: Agente Secreto (2015),Acción | comedia,"Adolfo, un treinta guardia de seguridad, está pasando por un mal parche. No solo su novia de por vida solo tiene para terminar con él para ser un tipo sin ambición, sino, además, él ..."
151311,Wiener-Dog (2016),Comedia,"Un Dachshund pasa del propietario de Oddball al propietario de Oddball, cuyas vidas radicales disfuncionales son impactadas por el Pooch."
151315,Montar a lo largo de 2 (2016),Acción | comedia,"A medida que se acerca el día de su boda, Ben se dirige a Miami con su hermano más pronto de la ley, James para derribar a un traficante de drogas que está suministrando a los distribuidores de Atlanta con el producto."
151317,Plan de Maggie (2015),Comedia,"Maggie quiere tener un bebé, levantándolo por su cuenta, pero cuando se involucra románticamente con John, un hombre casado, las cosas se complican y todo el saldo de los planes de Maggie puede colapsar."
151455,Eddie The Eagle (2016),Comedia,"La historia de Eddie Edwards, el notoriamente tenaz jugador de esquí del perdedor británico, que encantó el mundo en los Juegos Olímpicos de Invierno de 1988."
151479,The Flash 2 - Revenge of the Trickster (1991),Acción | fantasía | ciencia ficción,"Cada superhéroe tiene su némesis, y esta vez Flash tiene ese horror asesino de la maldad, el tramposo (Hamill)."
151501,Expuesto (2016),Drama,Un detective de la policía investiga la verdad detrás de la muerte de su pareja. El caso misterioso revela una corrupción de la policía perturbadora y un secreto peligroso que involucra a una mujer joven poco probable.
151557,Stonewall (2015),Drama,El despertar político de un joven y llegar a la edad durante los días y semanas que conducen a los disturbios de piedra.
151559,Frankenstein (2015),Horror | Suspenso,Una pareja casada de científicos crea un monstruo moderno.
151653,Bienvenido a la felicidad (2015),Comedia | drama | fantasía,"Hay una puerta mágica en el armario de Woody que permite a los que lo atraviesan para borrar errores de su pasado. Cuando descubre dónde va, su vida se cambiará para siempre."
151687,Risen (2016),Niños | drama,"En el 33 ANUNCIO, una tribuna romana en Judea se encarga de encontrar el cuerpo desaparecido de Jesucristo, que se levantó de entre los muertos."
151695,El superviviente (2015),Drama | Sci-Fi | Thriller,"En un momento de hambre, un superviviente vive de una pequeña parcela de tierra oculta profundamente en el bosque. Cuando dos mujeres que buscan comida y refugio descubren su granja, encuentra su existencia amenazada."
151739,Grandpa sucio (2016),Comedia,"Justo antes de su boda, un tipo contento es engañado para conducir a su abuelo, un ex teniente del ejército de Lechero coronel, a Florida para las vacaciones de primavera."
151745,Repttilicus (1961),Horror | ciencia ficción,"Después de los mineros de cobre, descubren parte de la cola congelada de un monstruo prehistórico en Laponia, los científicos vuelven inadvertidamente a la vida."
151759,Requiem para el sueño americano (2015),Documental,Académico de renombre y autor Noam Chomsky elucida 10 principios de concentración de riqueza y poder que han llevado a una desigualdad sin precedentes y a la ahuecamiento de la clase media estadounidense.
151763,Nota de muerte Reescribe: Genshisuru Kami (2007),Misterio,Vea el mundo de la nota de la muerte a través del punto de vista de Ryuk.
151769,Tres de Prostokvashino (1978),Animación,"Pequeño Fedor le trae un gato al hogar a pesar del disgusto de su madre por los gatos. Él se escapa con su gato que habla, para hacer más amigos en el camino."
151777,Las mejores horas (2016),Drama | Suspenso,La Guardia Costera hace un atrevido intento de rescate en la costa de Cape Cod después de que se destruyan un par de petroleros durante una ventisca en 1952.
151781,Fantasma en la cáscara: Sociedad Estatal Sólida (2006),Acción | Animación | Crimen | Ciencia ficción | Thriller,"A.D. 2034. Han pasado dos años desde que la Sección de Motoko Kusanagi izquierda. 9. Togusa es ahora el nuevo líder del equipo, que ha aumentado considerablemente su personal designado. El nuevo ..."
152037,Grease Live (2016),(sin géneros enumerados),"Después de disfrutar de un romance de verano, los estudiantes de secundaria Danny y Sandy se reúnen inesperadamente cuando se transfiere a Rydell High. Hay Sandy, debe lidiar con el rizzo cínico y las damas rosadas para intentar ganar el corazón de Danny nuevamente."
152063,Dioses de Egipto (2016),Aventura | Fantasía,"Los equipos de Hero Mortal Bek con el dios Horus en una alianza contra set, el Dios despiadado de la Oscuridad, que ha usurpado el trono de Egipto, sumergiendo el imperio poco pacífico y próspero en el caos y el conflicto."
152065,Abrazo de la serpiente (2016),Aventura | drama,"La historia de la relación entre Karamakate, un chamán amazónico y el último sobreviviente de su pueblo, y dos científicos que trabajan juntos a lo largo de cuarenta años para buscar en la Amazonía para una planta de curación sagrada."
152071,Carrera (2016),Drama,"La búsqueda de Jesse Owens para convertirse en la mayor pista y campo atleta en la historia lo empuja a la etapa mundial de los Juegos Olímpicos de 1936, donde se enfrenta a la visión de Adolf Hitler de la supremacía aria."
152077,10 Cloverfield Lane (2016),Novela de suspenso,"Después de entrar en un accidente automovilístico, una mujer se lleva a cabo en un refugio por un hombre que afirma que el mundo exterior se ve afectado por un ataque químico generalizado."
152079,Londres ha caído (2016),Acción | Crimen | Thriller,"En Londres para el funeral del primer ministro, Mike Banning está atrapado en una parcela para asesinar a todos los líderes mundiales de asistencia."
152081,ZOOTOPIA (2016),Acción | Aventura | Animación | Niños | Comedia,"En una ciudad de animales antropomorfos, un COP BOOKIE BOOKIE y un Cynical Con Artist Fox deben trabajar juntos para descubrir una conspiración."
152083,Whisky Tango Foxtrot (2016),Comedia | guerra,Un periodista relata su cobertura de guerra en Afganistán.
152085,DESIERTO (2016),Drama,Un grupo de personas que intentan cruzar la frontera desde México a los Estados Unidos encuentran a un hombre racista que ha tomado tareas de patrulla fronteriza en sus propias manos.
152091,Los hermanos Grimsby (2016),Comedia,Una nueva asignación obliga a un espía para que se adapte a su hermano Hooligan de fútbol.
152105,Ejército de papá (1971),Comedia,Las desventuras de un grupo de ragtag de personas de defensa locales de la Guardia de Hogar de ancianos en el inicio de WW2.
152173,Thriller de Michael Jackson (1983),Horror,"Una noche en el cine se convierte en una pesadilla cuando Michael y su cita son atacados por una acumulación de zombies sedientos de sangre, solo un ""thriller"" puede salvarlos ahora."
152270,La espera (2015),Drama,Una madre de forma inesperada se encuentra con la novedad de su hijo en una villa en Sicilia y la conoce mientras espera a que llegara su hijo.
152284,Guerra y paz (2016),Drama | Romance,"A medida que el conflicto ruso con Napoleón alcanza su pico, cinco familias aristocráticas enfrentan la posibilidad de que sus vidas se cambien para siempre."
152372,Southbound (2016),Horror,"Cinco cuentos de terror entrelazados siguen los destinos de un grupo de viajeros cansados ​​que enfrentan sus peores pesadillas, y los secretos más oscuros, durante una larga noche en un tramo desolado de la carretera del desierto."
152591,IP Man 3 (2015),Acción,"Cuando una banda de brutales gangsters dirigió por un desarrollador de propiedades torcidas, haga una jugada para hacerse cargo de una escuela local, Master IP se ve obligado a tomar una posición."
152658,Pequeño ayudante de Santa (2015),Niños,"Después de ser despedido de su trabajo, un hombre de negocios resbaladizo y de habla rápida (el MIZ) se lanza a un competencia ELF para convertirse en el próximo segundo al mando de Santa. Poner a través de una serie de ..."
152711,¿Quién mató a Chea Vichea? (2010),Documental,"Después del asesinato de un líder de la Unión Camboya, el cineasta Bradley Cox rastrea a los testigos y desconecta a la trama policial que enmarca a dos hombres."
152970,Hunt for the wilderpeople (2016),Aventura | comedia,Se ordena a un niño nacional para un niño rebelde y su tío de crianza que vaya desapareciendo en la naturaleza salvaje de Nueva Zelanda.
153070,Conejos (2002),Comedia | drama | fantasía,"En una ciudad sin nombre delgada por la lluvia continua, tres conejos viven con un misterio temeroso."
153236,Genius Party (2007),Animación,Varios directores participan en una antología dedicada a las películas cortas de anime.
153386,Fantasmas largos en vivo! (1977),Niños | Comedia | Fantasía,"PANDA DE ORDENCIA DE NIÑOS Encuentro un fantasma en las ruinas de un castillo. Cuando rescaten al fantasma que está atrapado en un trampa, se convierten en aliados en una lucha para evitar que las ruinas se conviertan en la granja de hongos por las autoridades de la ciudad."
